1000	10	10							
1	18	4							
2	15	10							
3	10	8							
4	20	9							
5	12	7							
6	17	9							
7	11	2							
8	9	2							
9	20	1							
10	7	7							
11	7	10							
12	12	7							
13	13	4							
14	10	5							
15	9	10							
16	11	10							
17	12	10							
18	14	10							
19	15	10							
20	8	9							
21	12	4							
22	16	1							
23	18	7							
24	14	10							
25	8	1							
26	20	4							
27	7	1							
28	14	1							
29	19	8							
30	9	7							
31	17	9							
32	18	9							
33	16	9							
34	9	5							
35	10	7							
36	7	7							
37	9	2							
38	11	10							
39	17	7							
40	11	1							
41	15	5							
42	15	5							
43	15	1							
44	18	6							
45	14	5							
46	14	10							
47	15	8							
48	13	5							
49	14	7							
50	16	6							
51	12	2							
52	12	8							
53	9	9							
54	19	3							
55	10	9							
56	16	4							
57	19	8							
58	13	8							
59	11	10							
60	8	2							
61	14	2							
62	19	6							
63	12	1							
64	15	3							
65	20	2							
66	14	8							
67	17	7							
68	18	5							
69	11	8							
70	8	8							
71	9	2							
72	19	6							
73	16	4							
74	20	9							
75	19	4							
76	14	4							
77	19	8							
78	12	6							
79	10	5							
80	9	5							
81	14	5							
82	12	9							
83	7	2							
84	12	7							
85	8	9							
86	20	10							
87	15	10							
88	12	3							
89	18	1							
90	14	9							
91	18	7							
92	8	4							
93	18	4							
94	7	8							
95	9	5							
96	9	3							
97	20	4							
98	13	4							
99	14	4							
100	7	9							
101	11	3							
102	9	6							
103	15	8							
104	13	9							
105	12	7							
106	18	8							
107	17	9							
108	13	7							
109	15	8							
110	9	2							
111	11	2							
112	18	5							
113	20	10							
114	19	9							
115	13	3							
116	16	3							
117	12	3							
118	13	3							
119	12	9							
120	9	9							
121	10	2							
122	11	7							
123	10	1							
124	20	7							
125	13	8							
126	19	7							
127	15	3							
128	8	6							
129	7	10							
130	17	4							
131	12	4							
132	15	9							
133	19	4							
134	15	8							
135	7	6							
136	12	6							
137	8	3							
138	20	8							
139	15	8							
140	14	5							
141	17	8							
142	10	3							
143	10	9							
144	8	1							
145	14	2							
146	10	5							
147	7	5							
148	11	9							
149	20	10							
150	18	5							
151	19	7							
152	15	1							
153	14	1							
154	15	3							
155	14	3							
156	19	7							
157	9	6							
158	20	7							
159	11	8							
160	20	3							
161	16	2							
162	8	7							
163	18	3							
164	12	1							
165	14	4							
166	14	5							
167	10	10							
168	18	9							
169	16	3							
170	10	8							
171	17	5							
172	9	7							
173	14	2							
174	7	4							
175	14	3							
176	9	6							
177	19	8							
178	16	4							
179	18	1							
180	10	3							
181	8	9							
182	10	10							
183	17	9							
184	18	5							
185	10	2							
186	10	3							
187	13	5							
188	10	5							
189	8	2							
190	15	10							
191	10	3							
192	19	6							
193	13	10							
194	11	10							
195	7	10							
196	17	2							
197	14	2							
198	12	3							
199	7	9							
200	11	10							
201	10	7							
202	8	5							
203	13	8							
204	12	7							
205	17	8							
206	12	9							
207	20	7							
208	8	3							
209	18	4							
210	18	7							
211	17	9							
212	19	8							
213	14	8							
214	9	9							
215	11	7							
216	9	7							
217	19	10							
218	9	2							
219	15	10							
220	9	10							
221	17	5							
222	14	4							
223	8	7							
224	14	3							
225	14	5							
226	17	6							
227	10	6							
228	18	4							
229	11	10							
230	10	4							
231	18	4							
232	13	4							
233	9	5							
234	19	3							
235	10	4							
236	8	10							
237	9	6							
238	7	2							
239	11	6							
240	13	10							
241	10	8							
242	11	1							
243	8	1							
244	15	9							
245	19	8							
246	9	4							
247	20	10							
248	15	8							
249	16	5							
250	13	6							
251	12	10							
252	17	1							
253	12	3							
254	15	1							
255	20	10							
256	16	2							
257	17	3							
258	18	5							
259	16	7							
260	8	3							
261	19	8							
262	20	6							
263	18	7							
264	11	3							
265	14	8							
266	13	5							
267	16	6							
268	9	1							
269	16	6							
270	14	10							
271	13	1							
272	8	5							
273	19	2							
274	9	8							
275	19	7							
276	16	6							
277	7	5							
278	14	4							
279	12	9							
280	18	3							
281	14	2							
282	17	8							
283	16	4							
284	16	4							
285	15	8							
286	17	4							
287	18	7							
288	20	10							
289	12	7							
290	19	5							
291	15	4							
292	12	2							
293	10	5							
294	7	10							
295	7	10							
296	18	7							
297	8	6							
298	8	1							
299	9	7							
300	13	2							
301	11	9							
302	12	5							
303	11	2							
304	9	5							
305	12	8							
306	19	4							
307	14	6							
308	15	5							
309	11	9							
310	19	4							
311	20	2							
312	10	2							
313	10	9							
314	7	6							
315	10	7							
316	7	1							
317	18	8							
318	11	4							
319	10	5							
320	19	8							
321	17	2							
322	14	2							
323	18	3							
324	11	1							
325	15	5							
326	9	3							
327	8	3							
328	16	9							
329	20	6							
330	20	8							
331	15	8							
332	10	7							
333	19	7							
334	16	5							
335	20	2							
336	15	6							
337	18	4							
338	16	3							
339	8	2							
340	12	7							
341	7	3							
342	16	7							
343	18	8							
344	8	2							
345	18	6							
346	10	10							
347	19	3							
