200	10	3
1	9	2
2	18	2
3	13	3
4	20	2
5	12	3
6	15	3
7	16	2
8	17	1
9	14	1
10	13	1
11	7	2
12	17	3
13	17	3
14	7	1
15	17	1
16	7	2
17	10	1
18	9	3
19	14	2
20	7	3
21	10	2
22	10	1
23	14	2
24	7	3
25	10	1
26	9	1
27	12	2
28	12	3
29	13	1
30	20	3
31	12	2
32	12	3
33	12	3
34	10	2
35	13	1
36	9	3
37	13	2
38	14	3
39	20	1
40	20	3
41	20	3
42	16	3
43	16	3
44	12	3
45	12	3
46	13	2
47	20	3
48	17	2
49	11	2
50	11	3
51	14	3
52	13	1
53	9	1
54	9	3
55	19	1
56	19	2
57	19	2
58	8	1
59	13	2
60	10	2
61	10	1
62	11	1
63	10	1
64	17	3
65	12	1
66	14	1
67	11	2
68	19	2
69	17	2
70	19	1
71	10	2
72	14	2
73	16	3
74	7	3
75	14	3
76	13	3
77	20	1
78	15	2
79	18	3
80	16	2
81	11	2
82	8	2
83	9	2
84	9	3
85	15	1
86	8	3
87	12	1
88	10	3
89	16	3
90	15	1
91	20	2
92	12	3
93	7	1
94	18	3
95	13	3
96	20	2
97	12	3
98	9	2
99	12	3
100	8	1
101	7	1
102	19	1
103	12	2
104	18	1
105	20	2
106	19	2
107	11	3
108	13	3
109	9	1
110	10	3
111	11	2
112	16	1
113	7	3
114	16	1
115	7	1
116	17	1
117	11	2
118	9	2
119	7	3
120	11	1
121	13	2
122	14	1
123	15	2
124	15	2
125	14	1
126	16	2
127	7	1
128	8	3
129	20	1
130	20	2
131	12	1
132	12	1
133	9	2
134	11	3
135	19	3
136	19	3
137	16	1
138	15	2
139	18	1
140	18	3
141	8	2
142	19	3
143	17	1
144	15	1
145	15	3
146	17	3
147	11	2
148	18	2
149	8	2
150	16	3
151	19	2
152	13	1
153	14	1
154	12	3
155	17	2
156	14	1
157	13	3
158	17	1
159	8	1
160	12	1
161	18	1
162	8	2
163	19	2
164	12	2
165	19	3
166	14	2
167	10	2
168	15	3
169	7	3
170	10	1
171	15	3
172	14	3
173	9	2
174	13	3
175	7	3
176	13	1
177	17	1
178	15	1
179	16	2
180	19	3
181	9	1
182	13	2
183	15	1
184	17	2
185	16	1
186	15	3
187	19	2
188	18	2
189	7	3
190	15	3
191	19	3
192	15	1
193	17	2
194	9	1
195	15	1
196	13	2
197	8	2
198	7	3
199	13	2
200	8	3
0	1	5
1	0	2
4	5	0
